Gender,Height
1,67
1,67
1,67
1,60
1,68
1,64
1,69
1,71
1,67
1,67
1,66
1,63
1,67
1,62
1,66
1,70
1,67
1,61
1,68
1,67
1,68
1,64
1,69
1,67
1,70
1,72
1,61
1,67
1,69
1,68
1,69
1,72
1,66
1,67
1,66
1,67
1,69
1,64
1,64
1,63
1,68
1,66
1,65
1,60
1,70
1,65
1,68
1,66
1,61
1,65
2,72
2,74
2,75
2,71
2,71
2,68
2,75
2,75
2,74
2,70
2,74
2,74
2,79
2,72
2,72
2,75
2,72
2,76
2,76
2,74
2,73
2,72
2,65
2,71
2,74
2,69
2,73
2,69
2,71
2,67
2,74
2,70
2,70
2,70
2,74
2,74
2,74
2,70
2,74
2,73
2,69
2,72
2,69
2,74
2,71
2,72
2,74
2,75
2,77
2,72
